class_name,recording,n_unique_sources,exact_accuracy,ship_only_top1_accuracy,predicted_tanker_fraction,predicted_cargo_fraction,rejected_fraction
Tanker,tanker/20160613-13/13.wav,31,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160615-14/14.wav,5,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160617-16/225229.wav,101,0.9405940594059405,0.9405940594059405,0.9405940594059405,0.0594059405940594,0.0
Tanker,tanker/20160619a-18/18.wav,13,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160625-19/19.wav,2,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160702-20/20.wav,20,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160703-21/21.wav,3,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160704-22/111311.wav,81,0.9135802469135802,0.9259259259259259,0.9135802469135802,0.06172839506172839,0.0
Tanker,tanker/20160710-23/104049.wav,74,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.013513513513513514,0.0
Tanker,tanker/20160714-25/111759.wav,102,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0
Tanker,tanker/20160724-27/025459.wav,70,0.9857142857142858,0.9857142857142858,0.9857142857142858,0.014285714285714285,0.0
Tanker,tanker/20160808-28/203415.wav,78,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160810-29/29.wav,21,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160810a-30/30.wav,6,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160823-31/041452.wav,61,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.08196721311475409,0.0
Tanker,tanker/20160829-32/32.wav,7,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160831-33/33.wav,3,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160906-35/35.wav,3,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20160924-38/38.wav,34,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.029411764705882353,0.0
Tanker,tanker/20160927-39/39.wav,25,0.88,0.96,0.88,0.04,0.04
Tanker,tanker/20161009-42/42.wav,14,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161021-43/43.wav,5,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161022-44/030503.wav,41,0.926829268292683,0.926829268292683,0.926829268292683,0.07317073170731707,0.0
Tanker,tanker/20161024-45/061514.wav,49,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161027-46/145435.wav,69,0.927536231884058,0.9420289855072463,0.927536231884058,0.057971014492753624,0.014492753623188406
Tanker,tanker/20161030-47/47.wav,4,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161101-48/48.wav,7,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161101a-49/49.wav,7,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161110-52/005212.wav,8,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161113-237/174452.wav,57,0.7192982456140351,0.7543859649122807,0.7192982456140351,0.22807017543859648,0.03508771929824561
Tanker,tanker/20161113a-53/212239.wav,6,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161121-54/094048.wav,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.0
Tanker,tanker/20161124-56/095256.wav,17,0.8823529411764706,0.9411764705882353,0.8823529411764706,0.058823529411764705,0.058823529411764705
Tanker,tanker/20161128-58/005608.wav,88,0.8522727272727273,0.8522727272727273,0.8522727272727273,0.14772727272727273,0.0
Tanker,tanker/20161206-59/221722.wav,12,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161208-61/135535.wav,5,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161208a-62/200744.wav,5,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161211-63/204245.wav,72,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161215-64/025503.wav,2,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161218-65/134000.wav,98,0.8163265306122449,0.826530612244898,0.8163265306122449,0.17346938775510204,0.0
Tanker,tanker/20161226-66/123224.wav,1,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20161227-67/034311.wav,4,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170102-68/001752.wav,24,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.4166666666666667,0.0
Tanker,tanker/20170119-69/153739.wav,8,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170120-70/070941.wav,70,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.04285714285714286,0.0
Tanker,tanker/20170121-71/234906.wav,1,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170122a-73/032130.wav,3,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170124-75/085359.wav,112,0.9553571428571429,0.9553571428571429,0.9553571428571429,0.026785714285714284,0.008928571428571428
Tanker,tanker/20170205-78/163939.wav,8,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170216-81/035911.wav,106,0.8301886792452831,0.8490566037735849,0.8301886792452831,0.1509433962264151,0.009433962264150943
Tanker,tanker/20170301-84/230755.wav,47,0.9148936170212766,0.9148936170212766,0.9148936170212766,0.0851063829787234,0.0
Tanker,tanker/20170317-86/072019.wav,56,0.875,0.875,0.875,0.10714285714285714,0.017857142857142856
Tanker,tanker/20170326a-88/203852.wav,4,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170326b-89/231111.wav,48,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.020833333333333332,0.0
Tanker,tanker/20170403-92/044833.wav,6,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170403a-93/102955.wav,35,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,0.0
Tanker,tanker/20170412-96/114857.wav,3,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170413-97/112445.wav,9,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170419-98/021347.wav,66,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170421-100/010738.wav,74,0.9594594594594594,0.9864864864864865,0.9594594594594594,0.013513513513513514,0.013513513513513514
Tanker,tanker/20170421a-101/064626.wav,39,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170509-104/105420.wav,103,0.9223300970873787,0.9223300970873787,0.9223300970873787,0.07766990291262135,0.0
Tanker,tanker/20170510-105/041848.wav,65,0.8,0.8153846153846154,0.8,0.18461538461538463,0.015384615384615385
Tanker,tanker/20170511-106/050253.wav,44,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.022727272727272728,0.0
Tanker,tanker/20170525-109/111532.wav,3,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170529-110/124845.wav,88,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.2840909090909091,0.045454545454545456
Tanker,tanker/20170530-111/004426.wav,8,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170605-112/143212.wav,84,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.09523809523809523,0.0
Tanker,tanker/20170608-113/234244.wav,8,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170621-116/221235.wav,5,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170623-117/232502.wav,17,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170625-118/180527.wav,18,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.05555555555555555,0.0
Tanker,tanker/20170627-119/111336.wav,103,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.009708737864077669,0.0
Tanker,tanker/20170629-120/215813.wav,68,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.029411764705882353,0.0
Tanker,tanker/20170630-121/210742.wav,4,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170704-122/145807.wav,68,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.029411764705882353,0.0
Tanker,tanker/20170705-123/030515.wav,72,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.027777777777777776,0.0
Tanker,tanker/20170711-124/000454.wav,1,1.0,1.0,1.0,0.0,0.0
Tanker,tanker/20170711a-239/191933.wav,111,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.05405405405405406,0.0
Tanker,tanker/20170712a-126/015656.wav,9,1.0,1.0,1.0,0.0,0.0
